,data1
69,Aug 8 03:32:51seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mukilteo-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.932 MaxRTT=107.301 Avg-RTT=39.058 Jitter=102.369
70,Aug 8 03:32:54seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=chiefkitsap-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.806 MaxRTT=7.471 Avg-RTT=4.669 Jitter=4.665
71,Aug 8 03:32:54seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
72,Aug 8 03:32:54seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cascadia-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.248 MaxRTT=8.555 Avg-RTT=5.789 Jitter=4.307
73,Aug 8 03:32:54seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
74,Aug 8 03:32:54seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=skagitvalley-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.186 MaxRTT=8.505000000000001 Avg-RTT=5.734 Jitter=4.
75,Aug 8 03:32:55seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=skagitvalley-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.186 MaxRTT=8.505000000000001 Avg-RTT=5.734 Jitter=4.
76,Aug 8 03:32:56spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=richland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.013 MaxRTT=45.095 Avg-RTT=20.382 Jitter=37.082
77,Aug 8 03:32:56seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=morton-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.16 MaxRTT=15.517 Avg-RTT=9.49 Jitter=10.357
78,Aug 8 03:32:56seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=centralia-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.8 MaxRTT=15.483 Avg-RTT=9.337999999999999 Jitter=10.683
79,Aug 8 03:32:57seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=sumner-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.526 MaxRTT=49.795 Avg-RTT=20.303 Jitter=45.269
80,Aug 8 03:32:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=centralkitsap-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.702 MaxRTT=8.315 Avg-RTT=6.641 Jitter=2.613
81,Aug 8 03:32:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-wenatchee-bacc Test=icmp-test Loss%=0.000000 Min-RTT=6.274 MaxRTT=9.192 Avg-RTT=7.311 Jitter=2.918
82,Aug 8 03:32:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=westvalley-yak-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.016 MaxRTT=8.241 Avg-RTT=6.833 Jitter=2.225
83,Aug 8 03:32:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=whitepass-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.583 MaxRTT=8.226000000000001 Avg-RTT=6.531 Jitter=2.643
84,Aug 8 03:32:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=marymknight-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.796 MaxRTT=9.236000000000001 Avg-RTT=7.639 Jitter=2.4
85,Aug 8 03:32:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wwu-bacc Test=icmp-test Loss%=0.000000 Min-RTT=4.876 MaxRTT=8.18 Avg-RTT=6.195 Jitter=3.304
86,Aug 8 03:32:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=entiat-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.478 MaxRTT=9.26 Avg-RTT=8.084 Jitter=2.782
87,Aug 8 03:32:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=esd171-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.06 MaxRTT=9.225 Avg-RTT=7.192 Jitter=3.165
88,Aug 8 03:32:59seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
89,Aug 8 03:33:00seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=graysharbor-raymond-ctc Test=icmp-test Loss%=0.000000 Min-RTT=6.411 MaxRTT=92.114 Avg-RTT=35.028 Jitter=85.70
90,Aug 8 03:33:00seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=peninsula-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.507 MaxRTT=48.037 Avg-RTT=26.272 Jitter=43.53
91,Aug 8 03:33:00seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=peell-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.329 MaxRTT=48.099 Avg-RTT=26.714 Jitter=42.77
92,Aug 8 03:33:01seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=northbeach-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.061 MaxRTT=8.217000000000001 Avg-RTT=6.138 Jitter=3.15
93,Aug 8 03:33:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=ocosta-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.42 MaxRTT=12.072 Avg-RTT=8.397 Jitter=5.652
94,Aug 8 03:33:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=ospi-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.921 MaxRTT=8.151 Avg-RTT=6.68 Jitter=2.23
95,Aug 8 03:33:03seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
96,Aug 8 03:33:03seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
97,Aug 8 03:33:03seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mountpleasant-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.116 MaxRTT=10.456 Avg-RTT=9.24 Jitter=2.34
98,Aug 8 03:33:03seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=yelmcommunity-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.268 MaxRTT=10.379 Avg-RTT=7.706 Jitter=4.111
99,Aug 8 03:33:03seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lynden-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.298 MaxRTT=16.3 Avg-RTT=11.688 Jitter=8.002000000000001
100,Aug 8 03:33:03seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=whatcom-ctc Test=icmp-test Loss%=0.000000 Min-RTT=6.971 MaxRTT=122.183 Avg-RTT=46.173 Jitter=115.212
101,Aug 8 03:33:03seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=omak-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.628 MaxRTT=10.418 Avg-RTT=8.683 Jitter=2.79
102,Aug 8 03:33:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=yelmcommunity-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.268 MaxRTT=10.379 Avg-RTT=7.706 Jitter=4.111
103,Aug 8 03:33:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mountpleasant-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.116 MaxRTT=10.456 Avg-RTT=9.24 Jitter=2.34
104,Aug 8 03:33:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lynden-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.298 MaxRTT=16.3 Avg-RTT=11.688 Jitter=8.002000000000001
105,Aug 8 03:33:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=omak-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.628 MaxRTT=10.418 Avg-RTT=8.683 Jitter=2.79
106,Aug 8 03:33:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cascade-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.769 MaxRTT=10.506 Avg-RTT=8.782 Jitter=2.737
107,Aug 8 03:33:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=whatcom-ctc Test=icmp-test Loss%=0.000000 Min-RTT=6.971 MaxRTT=122.183 Avg-RTT=46.173 Jitter=115.212
108,Aug 8 03:33:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wapato-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.066 MaxRTT=11.016 Avg-RTT=8.444000000000001 Jitter=3.95
109,Aug 8 03:33:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wenatcheevalley-ctc Test=icmp-test Loss%=0.000000 Min-RTT=9.834 MaxRTT=16.956 Avg-RTT=14.205 Jitter=7.122
110,Aug 8 03:33:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cheney-k12 Test=icmp-test Loss%=0.000000 Min-RTT=9.885999999999999 MaxRTT=17.014 Avg-RTT=14.259 Jitter=7.128
111,Aug 8 03:33:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wenatchee-k12 Test=icmp-test Loss%=0.000000 Min-RTT=9.833 MaxRTT=16.955 Avg-RTT=14.209 Jitter=7.122
112,Aug 8 03:33:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=brewster-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.442 MaxRTT=17.203 Avg-RTT=14.541 Jitter=6.761
113,Aug 8 03:33:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=bridgeport-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.389 MaxRTT=17.028 Avg-RTT=14.455 Jitter=6.639
114,Aug 8 03:33:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=tonasket-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.546 MaxRTT=22.801 Avg-RTT=16.646 Jitter=12.255
115,Aug 8 03:33:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=dayton-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.305 MaxRTT=17.005 Avg-RTT=14.406 Jitter=6.7
116,Aug 8 03:33:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=medicallake-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.482 MaxRTT=22.795 Avg-RTT=16.621 Jitter=12.313
117,Aug 8 03:33:07seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
